,Tipo_Vivienda,Precio_Casa,Ubicacion,Tamaño,Habitaciones
0,Casa en arriendo,15000000.0,"El Poblado, Medell√≠n, Antioquia",380 m¬≤ cubiertos,4 habs.
1,Casa en venta,310000000.0,"Santa Luc√≠a, Medell√≠n, Antioquia",87 m¬≤ cubiertos,3 habs.
2,Apartamento en arriendo,15000000.0,"Laureles, Medell√≠n, Antioquia",550 m¬≤ cubiertos,4 habs.
3,Casa en venta,950000000.0,"9 C # 15- 165 102, El Poblado, Med...",276 m¬≤ cubiertos,4 habs.
4,Casa en venta,950000000.0,"Santa M√≥nica, Medell√≠n, Antioquia",176 m¬≤ cubiertos,6 habs.
5,Casa en venta,360000000.0,"79q5+r6, Medell√≠n, San Crist√≥bal, ...",130 m¬≤ cubiertos,4 habs.
6,Casa en venta,85000000.0,"Manrique, Medell√≠n, Antioquia, Col...",47 m¬≤ cubiertos,2 habs.
7,Finca en venta,310000000.0,"Tienda El Rosario Sn, Santa Elena,...",95 m¬≤ cubiertos,3 habs.
8,Casa en venta,420000000.0,"San Joaqu√≠n, Medell√≠n, Antioquia",128 m¬≤ cubiertos,5 habs.
9,Casa en venta,7000000000.0,"Las Palmas, Medell√≠n, Antioquia",900 m¬≤ cubiertos,6 habs.
10,Casa en venta,381000000.0,"Carrera 75da #2b Sur, Medell√≠n, An...",74 m¬≤ cubiertos,4 habs.
11,Casa en venta,3500000000.0,"Poblado Alto De Las Palmas, Medell...",432 m¬≤ cubiertos,3 habs.
12,Casa en venta,380000000.0,"Robledo, Medell√≠n, Antioquia",110 m¬≤ cubiertos,4 habs.
13,Apartamento en arriendo temporal,215000000.0,"Calle 41 #86a-50, Medell√≠n, Antioq...",67 m¬≤ cubiertos,2 habs.
14,Casa en venta,7200000000.0,"El Poblado, Medell√≠n, Antioquia",970 m¬≤ cubiertos,7 habs.
15,Casa en venta,230000000.0,"Buenos Aires, Medell√≠n, Antioquia,...",64 m¬≤ cubiertos,3 habs.
16,Casa en venta,6500000000.0,"El Poblado, Medell√≠n, Antioquia",700 m¬≤ cubiertos,4 habs.
17,Casa en venta,445000000.0,"Medell√≠n, Antioquia, Colombia, Bos...",231 m¬≤ cubiertos,5 habs.
18,Casa en venta,230000000.0,Colombia / Antioquia / La Estrella...,77 m¬≤ cubiertos,3 habs.
19,Casa en venta,820000000.0,"El Poblado, Medell√≠n, Antioquia",136 m¬≤ cubiertos,3 habs.
20,Casa en venta,650000000.0,"Cra. 67 #32b36, Medell√≠n, Bel√©n, M...",179 m¬≤ cubiertos,5 habs.
21,Casa en venta,3800000000.0,"Calle 9a Sur #11, Medell√≠n, Antioq...",528 m¬≤ cubiertos,4 habs.
22,Casa en venta,2500000000.0,"El Poblado, Medell√≠n, Antioquia",521 m¬≤ cubiertos,4 habs.
23,Casa en venta,298000000.0,"Las Cometas, Aures I, Medell√≠n, An...",89 m¬≤ cubiertos,3 habs.
24,Casa en venta,295000000.0,"Cl. 42 Sur #65a-70, San Antonio De...",76 m¬≤ cubiertos,3 habs.
25,Casa en venta,1750000000.0,"El Poblado, Medell√≠n, Antioquia",390 m¬≤ cubiertos,5 habs.
26,Casa en venta,310000000.0,"Buenos Aires, Medell√≠n, Antioquia,...",103 m¬≤ cubiertos,3 habs.
27,Finca en venta,380000000.0,Casa De Las Flores Sitio Silletero...,79 m¬≤ cubiertos,3 habs.
28,Apartamento en venta,450000000.0,"Villa Hermosa, Medell√≠n, Antioquia",284 m¬≤ cubiertos,4 habs.
29,Casa en venta,820000000.0,"Boston, Medell√≠n, Antioquia",269 m¬≤ cubiertos,5 habs.
30,Casa en venta,790000000.0,"San Lucas, Medell√≠n, Antioquia",139 m¬≤ cubiertos,3 habs.
31,Casa en venta,590000000.0,"Calasanz, Medell√≠n, Antioquia",120 m¬≤ cubiertos,3 habs.
32,Casa en venta,899900000.0,"El Poblado/ Suroriente, Medell√≠n, ...",250 m¬≤ cubiertos,3 habs.
33,Finca en venta,510000000.0,Colombia / Antioquia / Santa Elena...,110 m¬≤ cubiertos,3 habs.
34,Casa en venta,430000000.0,"Prado Centro, Medell√≠n, Antioquia",164 m¬≤ cubiertos,7 habs.
35,Casa en venta,1200000000.0,"Calle 30 #80, Medell√≠n, Bel√©n, Med...",420 m¬≤ cubiertos,8 habs.
36,Casa en venta,1600000000.0,"Poblado/suroriente, Medell√≠n, Anti...",340 m¬≤ cubiertos,4 habs.
37,Casa en venta,1860000000.0,"El Poblado, Medell√≠n, Antioquia",379 m¬≤ cubiertos,4 habs.
38,Casa en venta,380000000.0,"Prado, La Candelaria, Medell√≠n, An...",126 m¬≤ cubiertos,4 habs.
39,Casa en venta,3700000000.0,"Calle 16b #23-17, El Poblado, Mede...",455 m¬≤ cubiertos,4 habs.
40,Casa en venta,4000000000.0,"El Poblado, Medell√≠n, Antioquia",477 m¬≤ cubiertos,4 habs.
41,Casa en venta,188000000.0,"Cl. 48 Sur #61c 22, San Antonio De...",81 m¬≤ cubiertos,3 habs.
42,Apartamento en venta,1150000000.0,"Los Colores, Medell√≠n, Antioquia",320 m¬≤ cubiertos,5 habs.
43,Casa en venta,720000000.0,"La Mota, Medell√≠n, Antioquia",170 m¬≤ cubiertos,3 habs.
44,Casa en venta,200000000.0,"Clle 62  158-188, San Crist√≥bal, M...",90 m¬≤ cubiertos,2 habs.
45,Casa en venta,550000000.0,"Calasanz, Medell√≠n, Antioquia, Col...",155 m¬≤ cubiertos,3 habs.
46,Apartamento en venta,1120000000.0,"El Poblado/ Suroriente, Medell√≠n, ...",280 m¬≤ cubiertos,4 habs.
47,Casa en venta,380000000.0,"Robledo, Medell√≠n, Antioquia",110 m¬≤ cubiertos,4 habs.
48,Casa en venta,1200000000.0,"El Poblado, Medell√≠n, Antioquia",150 m¬≤ cubiertos,4 habs.
49,Casa en venta,2900000000.0,"Corregimiento Santa Elena, Medell√≠...",465 m¬≤ cubiertos,5 habs.
50,Casa en venta,570000000.0,"Calle 40 #81a-168, Sim√≥n Bol√≠var, ...",173 m¬≤ cubiertos,5 habs.
51,Casa en venta,785000000.0,"Medell√≠n, Antioquia",300 m¬≤ cubiertos,8 habs.
52,Casa en venta,3830000000.0,"El Poblado, Medell√≠n, Antioquia",500 m¬≤ cubiertos,4 habs.
53,Casa en venta,2250000000.0,"Las Palmas, Medell√≠n, Antioquia",400 m¬≤ cubiertos,4 habs.
54,Casa en venta,440000000.0,"Santa Monica, Medell√≠n, Antioquia,...",112 m¬≤ cubiertos,3 habs.
55,Casa en venta,4600000000.0,"Loma Los Balsos, Medell√≠n, Antioqu...",625 m¬≤ cubiertos,4 habs.
56,Casa en venta,1085000000.0,"El Poblado, El Campestre, Medell√≠n...",373 m¬≤ cubiertos,4 habs.
57,Casa en venta,1100000000.0,"Medell√≠n, Antioquia",215 m¬≤ cubiertos,2 habs.
58,Casa en venta,820000000.0,"Bel√©n, Medell√≠n, Antioquia",160 m¬≤ cubiertos,6 habs.
