,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa
0,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
1,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
2,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
3,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
4,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
5,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
6,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
7,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
8,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
9,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
10,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
11,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
12,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
13,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
14,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
15,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
16,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
17,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
18,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
19,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
20,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
21,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
22,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
23,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
24,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
25,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
26,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
27,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
28,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
29,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
30,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
31,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
32,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
33,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
34,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
35,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
36,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
37,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
38,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
39,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
40,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
41,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
42,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
43,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
44,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
45,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
46,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
47,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
48,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
49,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
50,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
51,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
52,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
53,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
54,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
55,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
56,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
57,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
58,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
59,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
60,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
61,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
62,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
63,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
64,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
65,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
66,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
67,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
68,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
69,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
70,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
71,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
72,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
73,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
74,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
75,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
76,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
77,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
78,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
79,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
80,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
81,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
82,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
83,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
84,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
